Alamat,Industri,SubIndustri,Email,Fax,KegiatanUsahaUtama,KodeEmiten,NPWP,PapanPencatatan,Sektor,SubSektor,TanggalPencatatan,Telepon,Website,Logo,NamaEmiten
GEDUNG WISMA 46 KOTA BNI LT.20 JL JEND. SUDIRMAN KAV 1 RT.010 RW. 009 KARET TENGSIN TANAH ABANG KOTA ADM. JAKARTA PUSAT DKI JAKARTA 10220,CHEMICALS,BASIC CHEMICALS,corporate@polychemindo.com,(62-21) 57945832-34,KIMIA DAN TEKSTIL,ADMG,01.326.008.8-092.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,1993-10-20T00:00:00,(62-21) 5744848,www.polychemindo.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADMG.jpg,POLYCHEM INDONESIA TBK
"CYBER 2 TOWER LANTAI 34, JL. H.R. RASUNA SAID BLOK X-5, NO.13 JAKARTA SELATAN 12950",COAL,COAL PRODUCTION,corsec@alamtriminerals.id,(021) 2553 3059,PERTAMBANGAN,ADMR,0026721639063000,MAIN,ENERGY,"OIL, GAS & COAL",2022-01-03T00:00:00,(021) 2553 3060,www.alamtriminerals.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADMR.jpg,PT ALAMTRI MINERALS INDONESIA TBK
"MENARA KARYA 23RD FLOOR JL. H.R. RASUNA SAID, BLOCK X-5, KAV. 1-2 JAKARTA 12950",COAL,COAL PRODUCTION,corsec@alamtri.com; maharani.opssedha@alamtri.com,021-5211266,PERTAMBANGAN BATUBARA(COAL MINING),ADRO,0023992449091000,MAIN,ENERGY,"OIL, GAS & COAL",2008-07-16T00:00:00,021-25533000,www.alamtri.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADRO.jpg,ALAMTRI RESOURCES INDONESIA TBK
"DR. MAKALIWE RAYA NO. 16B, RT.008, RW.004 GROGOL PETAMBURAN, JAKARTA BARAT",AGRICULTURAL PRODUCTS,"FISH, MEAT, & POULTRY",admin@asiamina.com,(021) 21192523,PERDAGANGAN DAN INDUSTRI RUMPUT LAUT,AGAR,02.881.392.1-036.000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2019-12-02T00:00:00,(021) 21192523,www.asiamina.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AGAR.jpg,PT ASIA SEJAHTERA MINA TBK
MENARA BRILIAN LT. 20 JALAN GATOT SUBROTO NO. 177 A KEL. MENTENG DALAM KECAMATAN TEBET JAKARTA SELATAN DKI JAKARTA,BANKS,BANKS,humas@bankraya.co.id,021-50931494,PERBANKAN,AGRO,01.347.428.3-054.000,MAIN,FINANCIALS,BANKS,2003-08-08T00:00:00,021-50931300,bankraya.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AGRO.jpg,PT BANK RAYA INDONESIA TBK
WISMA GKBI SUITE UG-01 JL. JEND. SUDIRMAN NO. 28 JAKARTA 10210 INDONESIA,BANKS,BANKS,corsec@ibk.co.id,+62 21 5790 6888,PERBANKAN,AGRS,01.311.830.2-073.000,DEVELOPMENT,FINANCIALS,BANKS,2014-12-22T00:00:00,+62 21 5790 8888,www.ibk.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AGRS.jpg,PT BANK IBK INDONESIA TBK
"WISMA 46 KOTA BNI LANTAI 33, JL. JEND. SUDIRMAN KAV. 1 KARET TENGSIN TANAH ABANG JAKARTA PUSAT 10220",INSURANCE,GENERAL INSURANCE,harta@asuransi-harta.co.id,5727589,ASURANSI UMUM KONVENSIONAL,AHAP,01.360.902.9-054.000,DEVELOPMENT,FINANCIALS,INSURANCE,1990-09-14T00:00:00,"5702060, 5746789 (hunting)",www.asuransi-harta.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AHAP.jpg,ASURANSI HARTA AMAN PRATAMA TBK
"JL. CIPAKU 1 NO. 3, RT/RW 002/004, KEL. PETOGOGAN KEC. KEBAYORAN BARU, JAKARTA SELATAN DKI 12170",COAL,COAL PRODUCTION,info@aimsinvestama.com,(021) 7392909,PERDAGANGAN UMUM DAN DISTRIBUSI,AIMS,01.820.068.3-054.000,WATCHLIST,ENERGY,"OIL, GAS & COAL",2001-07-20T00:00:00,(021) 7221279,www.aimsinvestama.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AIMS.jpg,PT ARTHA MAHIYA INVESTAMA TBK
"MENARA ASTRA LANTAI 29, JALAN JEND. SUDIRMAN KAV 5-6, KARET TENGSIN, JAKARTA PUSAT 10220",PROCESSED FOODS,PROCESSED FOODS,corporate.secretary@fksfs.co.id,021 - 50889838,PERDAGANGAN BESAR,AISA,01.504.513.1-054.000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,1997-06-11T00:00:00,021 - 50889898,www.fksfs.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AISA.jpg,PT FKS FOOD SEJAHTERA TBK
"GRAND ASIA AFRIKA RESIDENCE, COMMERCIAL AREA A-10, JL. KARAPITAN NO. 1, PALEDANG, LENGKONG, BANDUNG, JAWA BARAT 40261",TOURISM & RECREATION,"HOTELS, RESORTS & CRUISE LINES",info@kagumgroup.com,022-2035013,PARIWISATA,AKKU,02.038.425.1-054.000,WATCHLIST,CONSUMER CYCLICALS,CONSUMER SERVICES,2004-11-01T00:00:00,022-2035013,kagumgroup.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AKKU.jpg,PT ANUGERAH KAGUM KARYA UTAMA TBK
"GEDUNG PROSPERITY TOWER, LANTAI 51, KAWASAN DISTRICT 8, SCBD LOT. 28, JL. JEND. SUDIRMAN KAV. 52-53, SENAYAN, KEBAYORAN BARU, JAKARTA SELATAN",CHEMICALS,SPECIALTY CHEMICALS,theo@arghakarya.com,"021-87902024, 8764155",PLASTICS AND PACKAGING,AKPI,01.000.863.9-054.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,1992-12-18T00:00:00,021-8572707,http://www.arghakarya.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AKPI.jpg,ARGHA KARYA PRIMA IND. TBK
"AKR TOWER LT.26, JL. PANJANG NO.5 KEBON JERUK, JAKARTA BARAT 11530",OIL & GAS,OIL & GAS STORAGE & DISTRIBUTION,corporate.secretary@akr.co.id,(021) 531 1185,PERDAGANGAN DAN DISTRIBUSI BBM DAN BAHAN KIMIA DASAR,AKRA,01.132.905.9-092.000,MAIN,ENERGY,"OIL, GAS & COAL",1994-10-03T00:00:00,(021) 531 1110,www.akr.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AKRA.jpg,PT AKR CORPORINDO TBK
"DISTRICT 8, TREASURY TOWER LANTAI 52 SCBD, LOT 28, JL.JENDERAL SUDIRMAN KAV 52-53, RT 08 RW 06, KEL.SENAYAN, KEC.KEBAYORAN BARU, JAKARTA SELATAN 12190",LOGISTICS & DELIVERIES,LOGISTICS & DELIVERIES,roni@msdm.co.id,-,AKTIVITAS PERUSAHAAN HOLDING,AKSI,01.349.129.5-054.000,DEVELOPMENT,TRANSPORTATION & LOGISTIC,LOGISTICS & DELIVERIES,2001-07-13T00:00:00,021 50105669,www.msdm.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AKSI.jpg,PT MINERAL SUMBERDAYA MANDIRI TBK
"KAWASAN INDUSTRI CIMAREME, JL. CIMAREME II NO. 14, PADALARANG, BANDUNG BARAT 40553",CONTAINERS & PACKAGING,CONTAINERS & PACKAGING,kuswara@alkindo.co.id,"(022) 603 6489, 600 4508",INDUSTRI PENGOLAHAN KERTAS SERTA PEMASARAN DAN PENJUALAN HASIL INDUSTRI BAIK LOKAL MAUPUN EKSPOR,ALDO,01.671.242.4-054.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,2011-07-12T00:00:00,"(022) 601 1220, 602 8277",www.alkindo.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ALDO.jpg,ALKINDO NARATAMA TBK
JALAN PULO GADUNG NO. 4 KAWASAN INDUSTRI PULOGADUNG JAKARTA 13930,METALS & MINERALS,ALUMINUM,corsec@ai.alakasa.co.id,(021)4603574; (021)4608856,INVESTMENT COMPANY,ALKA,01.000.166.7-054.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,1990-07-12T00:00:00,(021)460-88-55,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ALKA.jpg,ALAKASA INDUSTRINDO TBK
"GEDUNG MASPION LT.7, JL. KEMBANG JEPUN 38-40, SURABAYA 60162 JAWA TIMUR - INDONESIA",METALS & MINERALS,ALUMINUM,cs@alumindo.com,"+62-31-3533055, 3533218",METAL AND ALIED PRODUCTS,ALMI,01.122.572.9-092.000,WATCHLIST,BASIC MATERIALS,BASIC MATERIALS,1997-01-02T00:00:00,"+62-31-3531445, 3541040",www.alumindo.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ALMI.jpg,ALUMINDO LIGHT METAL INDUSTRY TBK
THE CITY CENTER BATAVIA TOWER ONE LANTAI 17 JALAN KH MAS MANSYUR KAV. 126 JAKARTA PUSAT 10220,INSURANCE,GENERAL INSURANCE,israeni@mag.co.id,(021) 7250223,ASURANSI KERUGIAN,AMAG,01.108.165.0-054.000,DEVELOPMENT,FINANCIALS,INSURANCE,2005-12-23T00:00:00,(021) 2700590,www.mag.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMAG.jpg,ASURANSI MULTI ARTHA GUNA TBK
"APL TOWER UNIT OT/35/T5 PODOMORO CITY, JL. S. PARMAN KAV. 28, TANJUNG DUREN SELATAN, GROGOL PETAMBURAN, JAKARTA BARAT 11470, INDONESIA",REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,info@mbagroup.id,(62-21) 2119 1008,PEMBANGUNAN KAWASAN INDUSTRI DAN JASA KAWASAN INDUSTRI SERTA INVESTASI PADA ENTITAS ANAK YANG BERGERAK DI BIDANG PERHOTELAN,AMAN,02.480.197.9-617.001,DEVELOPMENT,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,2020-03-13T00:00:00,(62-21) 2119 2888,mbagroup.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMAN.jpg,PT MAKMUR BERKAH AMANDA TBK
"JL. BASUKI RAHMAD NO. 109, SURABAYA, 60271",BANKS,BANKS,corsec@amarbank.co.id,(031) 9901595,PERBANKAN UMUM SWASTA,AMAR,01.526.905.3-619.000,DEVELOPMENT,FINANCIALS,BANKS,2020-01-09T00:00:00,(031) 99015959,www.amarbank.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMAR.jpg,PT BANK AMAR INDONESIA TBK
"JL ANCOL IX, 5, ANCOL, PADEMANGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA, 14430",BUILDING PRODUCTS & FIXTURES,BUILDING PRODUCTS & FIXTURES,adimulya.sukmana@agc.com,"021-6919245, 6918820","CERAMICS, GLASS, PORCELAIN",AMFG,0010 0016 1809 2000,DEVELOPMENT,INDUSTRIALS,INDUSTRIAL GOODS,1995-11-08T00:00:00,(021) 6904041 ext 1042,www.amfg.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMFG.jpg,ASAHIMAS FLAT GLASS TBK
"JALAN SEI BELUMAI KM. 2,4 NO. 30-38 DESA DAGANG KELAMBIR - TANJUNG MAROWA DELI SERDANG - SUMATERA UTARA",MACHINERY,INDUSTRIAL MACHINERY & COMPONENTS,corsec@atmindo.co.id,(061) 794 7755,BIDANG INDUSTRI MANUFAKTUR DAN PERAKITAN MESIN INDUSTRI,AMIN,01.001.807.5-055.000,DEVELOPMENT,INDUSTRIALS,INDUSTRIAL GOODS,2015-12-10T00:00:00,(061) 794 7751,www.atmindoboiler.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMIN.jpg,PT ATELIERS MECANIQUES D INDONESIE TBK
"JL. JALUR SUTERA BARAT KAV. 9, ALAM SUTERA, KOTA TANGERANG, PROV. BANTEN",FOOD & STAPLES RETAILING,SUPERMARKETS & CONVENIENCE STORE,corsec@sat.co.id / investor_relations@sat.co.id,021-80821556,RETAIL TRADE,AMRT,0013 3623 8905 4000,MAIN,CONSUMER NON-CYCLICALS,FOOD & STAPLES RETAILING,2009-01-15T00:00:00,021-80821555,www.alfamart.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMRT.jpg,PT SUMBER ALFARIA TRIJAYA TBK
"META EPSI BUILDING JL. MAYJEN D.I. PANJAITAN KAV. 2, JAKARTA TIMUR 13350, INDONESIA",AGRICULTURAL PRODUCTS,PLANTATIONS & CROPS,corpsec@andiraagro.com,0218564956,"PERKEBUNAN, PERTANIAN, DAN AGROINDUSTRI",ANDI,01.683.553.0-072.000,WATCHLIST,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2018-08-16T00:00:00,0218564955,www.andiraagro.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ANDI.jpg,PT ANDIRA AGRO TBK
"MENARA BTPN LANTAI 40 JALAN DR. IDE ANAK AGUNG GDE AGUNG KAV. 5.5 - 5.6 KAWASAN MEGA KUNINGAN, JAKARTA SELATAN.",AGRICULTURAL PRODUCTS,PLANTATIONS & CROPS,corsec@anj-group.com,(62-21) 2965 1788,"PERDAGANGAN, JASA DAN PENGOPERASIAN PERKEBUNAN, PENGOLAHAN DAN PERDAGANGAN PRODUK KELAPA SAWIT BAIK SENDIRI MAUPUN MELALUI ENTITAS ANAK, PENGOLAHAN DAN PERDAGANGAN PRODUK SAGU SERTA PRODUKSI DAN PENGGUNAAN ENERGI TERBARUKAN DAN KELISTRIKAN MELALUI ENTITAS ANAK.",ANJT,01.626.081.2-054.000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2013-05-08T00:00:00,(62-21) 2965 1777,www.anj-group.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ANJT.jpg,PT AUSTINDO NUSANTARA JAYA TBK
"GEDUNG ANEKA TAMBANG, JL. LETJEN T.B. SIMATUPANG NO. 1 JAKARTA 12530",METALS & MINERALS,DIVERSIFIED METALS & MINERALS,corsec@antam.com,021-7812822,METAL AND MINERAL MINING,ANTM,0010 0166 3205 1000,MAIN,BASIC MATERIALS,BASIC MATERIALS,1997-11-27T00:00:00,021-7805119; 021-7891234 ; 021-7812635,http://www.antam.com/,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ANTM.jpg,ANEKA TAMBANG TBK
"GEDUNG OFFICE 8, LT. 20-21, SCBD LOT 28, JL. JEND. SUDIRMAN KAV. 52-53, JAKARTA 12190","OIL, GAS & COAL SUPPORTS",OIL & GAS DRILLING SERVICE,info@apexindo.coom,(021) 29333111,"BERGERAK DI BIDANG PENGEBORAN MINYAK, GAS DAN PANAS BUMI",APEX,001.374.289.5-081.000,DEVELOPMENT,ENERGY,"OIL, GAS & COAL",2013-06-05T00:00:00,(021) 29333000,https://www.apexindo.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/APEX.jpg,APEXINDO PRATAMA DUTA TBK
"KOMPLEK SUNTER PERMAI JL. DANAU SUNTER UTARA BLOK C NO. 9 SUNTER AGUNG, TANJUNG PRIUK JAKARTA 14350",MACHINERY,INDUSTRIAL MACHINERY & COMPONENTS,corsec@arita.co.id,021-6516107,"PERDAGANGAN EKSPOR DAN IMPOR BARANG-BARANG LOGAM YANG MENCAKUP VALVE, FITTING DAN PRODUK TERKAIT LAINNYA",APII,002.005.399.7-059.000,DEVELOPMENT,INDUSTRIALS,INDUSTRIAL GOODS,2013-10-29T00:00:00,021-6519188,www.arita.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/APII.jpg,PT ARITA PRIMA INDONESIA TBK
JL.KH.EZ.MUTTAQIEN NO.94 RT.004/RW.002 KELURAHAN GEMBOR KECAMATAN PERIUK KOTA TANGERANG 15133,CHEMICALS,SPECIALTY CHEMICALS,sec@asiaplast.co.id,021-5901464,PLASTICS AND PACKAGING,APLI,0015648314054000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,2000-05-01T00:00:00,021-5901465,www.asiaplast.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/APLI.jpg,ASIAPLAST INDUSTRIES TBK
"PODOMORO CITY - APL TOWER, LT. 45 JL. LETJEN. S. PARMAN KAV. 28 JAKARTA 11470",REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,APLN.SP@agungpodomoroland.com,021-29034556,"PENGEMBANGAN, PENGELOLAAN DAN PENYEWAAN PROPERTI TERPADU YANG MELIPUTI APARTEMEN, PERUMAHAN, PERHOTELAN, PERKANTORAN, PERTOKOAN, PUSAT PERBELANJAAN, DAN PUSAT REKREASI, BESERTA FASILITASNYA MELALUI PERSEROAN MAUPUN ENTITAS ANAK PERSEROAN.",APLN,02.380.812.4-054.000,MAIN,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,2010-11-11T00:00:00,021-29034567,www.agungpodomoroland.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/APLN.jpg,PT AGUNG PODOMORO LAND TBK
"RAJAWALI PLACE LANTAI 27 JL. H. R. RASUNA SAID KAV. B/4, RT 003, RW 07, SETIABUDI, JAKARTA SELATAN, DKI JAKARTA 12910, INDONESIA",METALS & MINERALS,GOLD,corsec@archimining.com,+62 21 576 1720,"PERUSAHAAN HOLDING DI BIDANG PERTAMBANGAN MINERAL (ANTARA LAIN, EMAS DAN PERAK)",ARCI,03.088.742.6-063.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,2021-06-28T00:00:00,+62 21 576 1719,www.archiindonesia.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARCI.jpg,PT ARCHI INDONESIA TBK
"WISMA ARGO MANUNGGAL, JL. JEND. GATOT SUBROTO KAV. 22 JAKARTA SELATAN",APPAREL & LUXURY GOODS,TEXTILES,corp-secretary@argopantes.com,(021) 2520029,INDUSTRI PAKAIAN JADI DAN TEKSTIL,ARGO,01.001.018.9-092.000,DEVELOPMENT,CONSUMER CYCLICALS,APPAREL & LUXURY GOODS,1991-01-07T00:00:00,(021) 2520065-(021) 2520068,argo.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARGO.jpg,ARGO PANTES TBK
SAMPOERNA STRATEGIC SQUARE - SOUTH TOWER LEVEL 18 JL JEND SUDIRMAN KAV. 45-46 JAKARTA SELATAN 12930 - INDONESIA,COAL,COAL PRODUCTION,corsec@atlas-coal.co.id,021-71792708,PERDAGANGAN DAN PERTAMBANGAN,ARII,02.671.807.2-091.000,DEVELOPMENT,ENERGY,"OIL, GAS & COAL",2011-11-08T00:00:00,021-7193343,www.atlas-coal.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARII.jpg,ATLAS RESOURCES TBK
"JL. LANBAU NO. 8, KP GUDANG RT 06 / RW 09, KEL. KARANG ASEM BARAT, KEC. CITEUREUP, KAB. BOGOR, JAWA BARAT,",MACHINERY,INDUSTRIAL MACHINERY & COMPONENTS,corporate.secretary@arkhajayanti.co.id,Fax : 021-87916364,"MENJALANKAN USAHA DALAM BIDANG INDUSTRI MANUFAKTUR DAN FABRIKASI KOMPONEN ALAT-ALAT BERAT, KAROSERI BODY DUMP TRUCK, KONTRUKSI BAJA, FABRIKASI OIL & GAS EQUIPMENT DAN JASA PENGANGKUTAN BATUBARA.",ARKA,01.910.633.5-431.000,WATCHLIST,INDUSTRIALS,INDUSTRIAL GOODS,2019-07-10T00:00:00,021 - 87918903,www.arkhajayanti.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARKA.jpg,PT ARKHA JAYANTI PERSADA TBK
"TREASURY TOWER LEVEL 9 UNIT G-H DISTRICT 8 SCBD LOT 28 JL. JEND. SUDIRMAN KAV 52-53 JAKARTA 12190, INDONESIA",ELECTRIC UTILITIES,ELECTRIC UTILITIES,corporate.secretary@arkora.com,+62 21-29333-298,PEMBANGKITAN TENAGA LISTRIK MELALUI SUMBER ENERGI BARU DAN TERBARUKAN YANG BERASAL DARI ALIRAN AIR (PEMBANGKIT LISTRIK TENAGA AIR),ARKO,03.047.096.7-012.000,DEVELOPMENT,INFRASTRUCTURES,UTILITIES,2022-07-08T00:00:00,+62 (021) 50333144,www.arkora.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARKO.jpg,PT ARKORA HYDRO TBK
"GEDUNG PURI AGUNG SENTRA NIAGA PURI INDAH, T2, 24, KEMBANGAN SELATAN, KEMBANGAN, KOTA ADM. JAKARTA BARAT, DKI JAKARTA, 11610",BUILDING PRODUCTS & FIXTURES,BUILDING PRODUCTS & FIXTURES,corsec@arwanacitra.com,+6221 58302361,BAHAN BANGUNAN KERAMIK,ARNA,0016 0979 6605 4000,MAIN,INDUSTRIALS,INDUSTRIAL GOODS,2001-07-17T00:00:00,+6221 58302363,www.arwanacitra.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARNA.jpg,ARWANA CITRAMULIA TBK
SAHID SUDIRMAN CENTER LT.55 JL.JEND.SUDIRMAN NO.86 JAKARTA 10220,TOURISM & RECREATION,"HOTELS, RESORTS & CRUISE LINES",corpsec@arthavest.com,021-3453075,PERUSAHAAN INVESTASI,ARTA,01.356.069.3-054.000,DEVELOPMENT,CONSUMER CYCLICALS,CONSUMER SERVICES,2002-11-05T00:00:00,021-31116101,www.arthavest.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARTA.jpg,ARTHAVEST TBK
