Nama,cluster_node2vec_256
ALIM BROTHERS INDUSTRIES PTE LTD,1
ALKINDO NARATAMA TBK,1
ALLIANCE COSMETICS SDN BHD,0
ALLIED HILL LIMITED,0
ALLIED TELESIS INTERNATIONAL (ASIA) PTE LTD,0
ALLNEX NEW ZEALAND LTD,2
ALLNEX RESINS AUSTRALIA PTY LTD,2
ALPHA HOLDING CELLA PTE LTD,0
ALPHA INVESTMENTS PARTNERS LIMITED,2
ALPHA OMEGA INVESTMENTS PTE LTD,2
ALPHA PRIME SERVICES PTE LTD,2
ALSYNITE ONE NZ LIMITED,2
ALUMINDO LIGHT METAL INDUSTRY TBK,1
AMACORE BV,0
AMERICAN ANTHRACITE GROUP LLC,2
AMERICAN ANTHRACITE HOLDINGS LLC,2
AMERICAN ANTHRACITE SPV I LLC,2
"AMERICAN CARBON WAREHOUSING, LLC",2
ANA MOTOR SEVICE CO LTD,2
ANCORA INDONESIA RESOURCES TBK,2
ANDERSON BAY PTE LTD,2
ANDERSON INVESTMENT PTE LTD,1
ANEKA TAMBANG TBK,2
ANEMI MARITIME CO LTD,1
ANGLO THAI EXPORTS CO LTD,0
ANGLOTHAI,0
ANN TAYLOR SOURCING FAR EAST LTD,0
ANSAT BROADCAST SDN BHD,1
ANSUN INTERNATIONAL PTE LTD,2
ANTENNA ENTERTAINMENTS SDN BHD,1
APAC INVESTMENT 2 PTE LTD,0
APACHEE PTE LTD,1
APEX FIBER RESOURCES AND TRADING FZCO,0
APEXINDO PRATAMA DUTA TBK,2
APL REALTY HOLDINGS PTE LTD,0
APPLE MALAYSIA SDN BHD,1
APPLE SOUTH ASIA PTE LTD,1
AQUA STAR CORPORATION,1
AQUANUS MARITIME PTE LTD,0
AR SHOP,0
ARAMCO ASIA JAPAN KK,2
ARCELIK HITACHI HOME APPL,1
ARCHER DANIELS MIDLAND COMPANY,1
ARCHIPELAGO INVESTMENT PRIVATE LIMITED,1
ARCHIPELAGO RESOURCES PTE LTD,2
ARCHIPELAGO RUBBER TRADING PTE LTD,0
ARCHROMA SINGAPORE PTE LTD,1
ARES ASIA RESOURCES PTE LTD,2
ARES TRADING SA,1
ARGHA KARYA PRIMA IND. TBK,1
ARGO PANTES TBK,0
ARITA ENGINEERING SDN BHD,0
ARITA VALVE (TIANJIN) CO LTD,0
ARNOLD SUHR NETHERLANDS BV,1
ARTHA PERDANA INVESTAMA,2
ARTHAVEST TBK,0
ARTRON INTERNATIONAL PTE LTD,0
ARVEE INTERNATIONAL PTE LTD,2
ARWANA CITRAMULIA TBK,0
ASAHI INDIA GLASS LTD,0
ASAHIMAS FLAT GLASS TBK,0
ASEAN MARITIME CORPORATION,0
ASIA AGRI INTERNATIONAL PTE LTD,1
ASIA LOGIC SDN BHD,0
ASIA MEDICAL ENVIRO SERVICES PTE LTD,2
ASIA PACIFIC FIBERS TBK,0
ASIA PACIFIC NICKEL PTY LTD,2
ASIA PARAMITA INDAH,0
ASIA RECYCLING RESOURCES PTE LTD,1
ASIA RETAIL INVESTMENT PTE LTD,0
ASIAN SYNERGIES LIMITED,1
ASIANA SENOPATI,2
ASIAPLAST INDUSTRIES TBK,1
ASIAWIDE RESOURCES LTD,2
ASICOAL TRADING PTE LTD,2
ASTEEM PRODUCTS PTE LTD,1
ASTRA AGRO LESTARI,2
ASTRA AGRO LESTARI TBK,2
ASTRA GRAPHIA TBK,2
ASTRA INTERNATIONAL TBK,2
ASTRA OTOPARTS TBK,2
ASTRA-KLK PTE LTD,2
ASTRIA PACKAGING PTE LTD,0
ASURANSI BINA DANA ARTA TBK,2
ASURANSI BINTANG TBK,0
ASURANSI DAYIN MITRA TBK,0
ASURANSI HARTA AMAN PRATAMA TBK,1
ASURANSI JASA TANIA TBK,0
ASURANSI MULTI ARTHA GUNA TBK,1
ASURANSI RAMAYANA TBK,0
ASUS GLOBAL PTE LTD,0
ASUS INVESTMENT CO LTD,0
ASUSTEK COMPUTER INC,0
ATHLETICA INTERNATIONAL HOLDINGS PTE LTD,0
"ATLANTIC CARBON GROUP, INC",2
ATLAS RESOURCES TBK,1
AUGUSTA INVESTMENTS I PTE LTD,2
AURIC DIGITAL RETAIL PTE LTD,1
AURORA EQUITY PTE LTD,0
AUSWASTE RECYCLING PTY LTD,1
AUTOGLASS CO LTD,0
AUTOPEDIA SUKSES LESTARI,2
AVRA COMMODITIES PTE LTD,2
AVRA INTERNATIONAL DMCC,2
AXIA POWER HOLDINGS BV,0
AXIATA,0
AXIATA INVESTMENTS (INDONESIA) SDN BHD,1
AXN HOLDING LLC,1
AZMET TECHNOLOGY PROJECTS,2
AZZURRO HOLDINGS PTE LTD,2
BADAN KERJASAMA INTILAND STARLIGHT,0
BADAN LAYANAN TERPADU RSUD KABUPATEN SORONG,1
BADAN NASIONAL PENANGGULANGAN BENCANA,1
BADAN PENGATUR JALAN TOL,2
BADAN PENGELOLA DANA PERKEBUNAN KELAPA SAWIT,2
BADAN PENYELENGGARA JAMINAN SOSIAL,2
BADAN USAHA MILIK NEGARA,1
BAFIN NEDERLAND BV,0
BAKRIE & BROTHERS TBK,2
BAKRIE GROUP,0
BAKRIE KALILA INVESTMENT,1
BAKRIE SUMATERA PLANTATIONS TBK,2
BAKRIELAND DEVELOPMENT TBK,2
BALAI TEKNIK PERKERETAAPIAN,2
BALATA COFFEE,1
BALI ISLAND VILLAS,0
BALI PRIVATE VILLA S PTE LTD,0
BALTIMORE INVESTMENTS LTD,2
BANGKIT CASSAVA MANDIRI,1
BANGKOK BANK,2
BANGKOK BANK PUBLIC COMPANY LIMITED,2
BANK ARTHA GRAHA INTERNASIONAL TBK,1
BANK BUMI ARTA TBK,0
BANK INDONESIA,2
BANK INDUSTRI KOREA,1
BANK J SAFRA SARASIN LTD,0
BANK JULIUS BAER AND CO LTD SINGAPORE,0
BANK MANDIRI LIMITED,1
BANK MEGA TBK,0
BANK OF INDIA,0
BANK OF INDIA INDONESIA TBK,0
BANK OF NEW YORK,1
BANK OF SINGAPORE LIMITED,1
BANK PAN INDONESIA TBK,1
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,0
BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK,0
BANK PERMATA TBK,2
BANK SINARMAS TBK,0
BANK SINGAPORE LTD,0
BANK SYARIAH MANDIRI,1
BANK VICTORIA INTERNATIONAL TBK,1
BANPU MINERALS SINGAPORE PRIVATE LIMITED,2
BANQUE DE LUXEMBOURG,2
BANQUE PICTET AND CIE SA,2
BAOTOU TUOLITUO TECHNOLOGY CO LTD,1
BARA MAKMUR ABADI,2
BARA PTE LTD,0
BARAMULTI SUKSESSARANA TBK,0
BARITO PACIFIC TBK,0
BAROKAH MELAYU FOODS PTE LTD,1
BARY CHEMICAL PTE LTD,0
BARY COMMODITIES PTE LTD,2
BATA BRANDS SARL,0
BATA CENTRE SRO,0
BATA INDUSTRIAL EUROPE NETHERLAND,0
BATA PRIMAVERA SDN BHD,0
BATA SHOE (SINGAPORE) PTE LTD,0
BATA SHOE COMPANY (BANGLADESH) LIMITED,0
BATA SHOE COMPANY KENYA LIMITED,0
BATA SHOE OF THAILAND PUBLIC CO LTD,0
BATAVIA PROSPERINDO INVESTAMA,1
BATUBARA DEVELOPMENT PTE LTD,1
BAYAN RESOURCES TBK,2
BAYER CORP SCIENCE,1
BAYSWATER SHIPPING & FORWADING PTE LTD,2
BAYU BUANA TBK,0
BBR SHIPPING BERHAD,2
BBR SHIPPING PTE LTD,2
BC FINE LIVING LIMITED,1
BCA FINANCE LIMITED,1
BCA SEKURITAS,1
BCA SYARIAH,1
BDX ASIA DATA CENTER HOLDINGS PTE LTD,1
BEAUTY BRANDS INTERNATIONAL PTE LTD,1
BEAVER STREET FISHERIES INC,1
BEIJING FUHAIHUA IMPORT EXPORT CORP LTD,2
BEIJING SHUZHIFANG TECHNOLOGY CO LTD,2
BEKASI ASRI PEMULA TBK,0
BEKASI FAJAR INDUSTRIAL ESTATE TBK,2
BELLRIDGE HOLDINGS LIMITED,2
BERITO PANGAN MAKMUR,1
BERLIAN LAJU TANKER CORPORATION,0
BERLIAN LAJU TANKER TBK,2
BERLINA SINGAPORE PTE LTD,1
BERLINA TBK,1
BERSAMA DIGITAL INFRASTRUCTURE ASIA PTE LTD,1
BETA HOLDING CELLA PTE LTD,0
BETONJAYA MANUNGGAL TBK,1
BFI FINANCE INDONESIA TBK,0
BHARA ENERGY INTERNATIONAL,0
BHUWANATALA INDAH PERMAI TBK,1
BIBIT INDONESIA,0
BILLION VAST INDUSTRIAL LIMITED,0
BIN LADIN CONTRACTOR GROUP LLC,2
BINA PURI POWER SDN BHD,2
BINDERS INTERNATIONAL PTE LTD,1
BINH DINH FISHERY JOINT STOCK COMPANY,0
BINO DIGITAL SOLUTION PTE LTD,1
BINO INTERNATIONAL PTE LTD,1
BINTANG BARA B.V.,2
BINTANG JAYA,2
BINTANG MITRA SEMESTARAYA TBK,0
BIO MAJESTY PTE LTD,2
BIOMÉRIEUX,1
BIP HOLDINGS INTERNATIONAL PTE LTD,1
BIRCHWOOD OMNIA LIMITED,0
BISI INTERNATIONAL TBK,1
BLACK SAND COMMODITIES FZ LLC,2
BLACKHAWK NETWORK,1
BLACKHILLS DMCC,0
BLD ASIA PTE LTD,2
BLD INVESTMENT PTE LTD,2
BLT FINANCE B.V,0
BLT LNG TANGGUH CORPORATION,2
BLT SHIPPING CORPORATION,0
BLUE AQUA FOODS SA DE CV,0
BLUE GRASS FARMS AMERIKA SERIKAT,1
BLUE OCEAN RESOURCES PTE LTD,0
BLUE SPHERE SINGAPORE PTE LTD,1
BM ALLIANCE COAL OPERATIONS PTY LTD,2
BMTR DIGITAL LIMITED,0
BMTR MEDIA LIMITED,0
BNI HONGKONG,1
BNI LONDON,1
BNI REMITTANCE LTD,1
BNP PARIBAS SINGAPORE BRANCH WEALTH MANAGEMENT,2
BNWP CELLA HOLDING PTE LTD,0
BNYM RE ACP II TRADING LLC 2039927457,2
BNYM RE BNYMTCNA RE BCSS BORON A I LP,1
BOEVT (HONGKONG) CO LTD,1
BONLIGHT INVESTMENT LIMITED,1
BOOKINGCOM BV,2
BORNEO AGRI-RESOURCES INTERNATIONAL PTE LTD,0
BORNEO TECHNICAL CO(M) SDNBHD,0
BOWEN COKING COAL LIMITED,2
BP BERAU LTD,2
BP2S/SG BNP PARIBAS WEALTH MANAGEMENT SINGAPORE BRANCH,2
BRADKE SYNERGIES SDN BHD,0
BRANTAS ABIPRAYA,2
BRASMAR COMERCIO DE PRODUCTOS,0
BREDERO SHAW INTERNATIONAL BV,2
BRI GLOBAL FINANCIAL SERVICES CO LTD,1
BRIDGE LEED LIMITED,2
BRIDGESTONE CORPORATION,0
BRIDGESTONE SINGAPORE PTE LTD,0
BRILLIANT COMMODITY LIMITED,2
BROOKLYN ENTERPRISE PTE LTD,0
BSP FINANCE B.V,0
BSP LIBERIA B.V,0
BSP NETHERLAND FINANCE B.V,0
BTPN SYARIAH,0
BUANA FINANCE TBK,0
BUDI STARCH & SWEETENER SINGAPORE PTE LTD,0
BUHLMANN SINGAPORE PTE LTD,0
BUKA AUSTRALIA PTY LTD,1
BUKA AUSTRALIA PTY. LTD.,0
BUKA INVESTASI BERSAMA,0
BUKA KOREA CO LTD,1
BUKA MITRA INDONESIA,0
BUKA MITRA PROPERTI,0
BUKA PENGADAAN INDONESIA,0
BUKAKA INTERNATIONAL LLC,2
BUKAKA TEKNIK UTAMA TBK,2
BUKAKA THREE D PRIVATE LIMITED,2
BUKALAPAK,0
BUKALAPAK PTE LTD,1
BUKALAPAK PTE. LTD.,0
BUKIT ASAM TBK,2
BUKIT MAKMUR MANDIRI UTAMA PTE LTD,2
BULL INTERNATIONAL HOLDING PTE LTD,0
BULL INTERNATIONAL MARITIME PTE LTD,0
BULL INTERNATIONAL SHIPPING PTE LTD,0
BULL MARITIME CAPITAL PTE LTD,0
BULL MARITIME INC PTE LTD,0
BULL MARITIME INTERNATIONAL SERVICES,0
BUMA AUSTRALIA PTY LTD,2
BUMD PERDANA CIPTA MANDIRI,2
BUMI CITRA PERMAI TBK,0
BUMI RESOURCES MINERALS TBK,2
BUMI RESOURCES TBK,2
BUMI TEKNOKULTURA UNGGUL TBK,1
BUNGASARI FLOUR MILLS,1
BURAPA ASCENDING CO LTD,1
BYTTEBIER HOUT NV,1
C LOGISTICS GROUP LIMITED,0
C&A BUYING GMBH & CO KG,0
C&D (CHENGDU) CO LTD,2
C&D (SINGAPORE) BUSINESS PTE LTD,2
C&D (WUHAN) CO LTD,2
C&D LOGISTICS GROUP CO LTD,2
C-ENG CO LTD,0
CABLES DE COMUNICACIONES ZARAGOZA SL,2
CABLESCOM,2
CAESAR HOLDING CELLA PTE LTD,0
CAHAYA AERO SERVICES TBK,0
CALIPSO INVESTMENT PTE LTD,2
CAMAR RESOURCES CANADA INC,2
CAPGC PTE LTD,0
CAPITOL GRAVURE INDUSTRIES,1
CAPRAL ALUMINIUM IND,1
CARAVAGGIO HOLDINGS LIMITED,0
CARAVEL CARBONS LIMITED,2
CARBON RESILIENCE PTE LTD,2
CARBON RESOURCES ALLIANCE APS,0
CARGILL PALM PRODUCTS SDN BHD,0
CARGOTEC FINLAND OY,2
CARLISLE VENTURE PTE LTD,0
CASCADE CREEK PTY LTD,1
CASHIN RESOURCE COMPANY LIMITED,2
CASTLE PEAK POWER CO LTD,2
CATHAY UTIMA INVESTMENT PTE LTD,0
CATUR KUSUMA ABADI SEJAHTERA,1
CATUR SENTOSA ADIPRANA TBK,1
CAVENAGH OLEO S PTE LTD,2
CBH RESOURCES PTE LTD,1
CCL LABEL (THAI) LTD,1
CCL LABEL SINGAPORE PTE LTD,1
CEAMSA ASIA,0
CELESTA PRIME TECHNOLOGY PTE LTD,2
CELLA MANAGEMENT PTE LTD,0
CELLAR TECHNOLOGY VENTURE PTE LTD,1
CEMINDO INVESTMENT PTE LTD,2
CENTRAL BUSINESS ALLIANCE,1
CENTRAL OMEGA RESOURCES TBK,0
CENTRAL PROTEINA PRIMA TBK,1
CENTURY COMMODITIES SOLUTION PTE LTD,2
CEPR BV,2
CGI HOLDINGS LIMITED,0
CGS CIMB SECURITIES SINGAPORE PTE LTD,0
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,0
CHALCO TRADING HONGKONG CO LTD,2
CHAMPION PACIFIC INDONESIA TBK,1
CHANCE STAND FINANCE LIMITED,0
CHANDRA ASRI BIO INVESTMENT PTE LTD,0
CHANDRA ASRI CAPITAL PTE LTD,0
CHANDRA ASRI TRADING COMPANY PTE LTD,0
CHANNEL INTERNATIONAL INC,0
CHARLIE HOLDING CELLA PTE LTD,0
CHAROEN POKPHAND INDONESIA TBK,1
CHAROEN POKPHAND JAYA FARM,1
CHATIME HK LIMITED,1
CHEMICAL ASIA CORPORATION PTE LTD,1
CHEMICAL PETROLEUM INTERNATIONAL TRADING PTE LTD,2
CHEMICO GROUP CO LTD,1
CHENG I MACHINERY CO LTD,2
CHENG TUN METAL INTERNATIONAL TRADE PTE LTD,2
CHENGDONG INVESTMENT CORP SELF,2
CHEONGFULI (HONG KONG) COMPANY LIMITED,2
CHEVRON PHILLIPS CHEMICAL,1
CHICKEN OF THE SEA FROZEN FOODS,1
CHIN FUNG TRADING CO LTD,1
CHINA BAI GUI INTERNATIONAL TRADE LTD,2
CHINA CONSTRUCTION BANK CORPORATION,1
CHINA HUANENG GROUP FUEL CO LTD,2
CHINA MERCHANTS INTERNATIONAL PORT INTEGRATED DEVELOPMENT HONG KONG CO LTD,2
CHINA NATIONAL MACHINERY IMPORT AND EXPORT CORPORATION,2
CHINA RESOURCES POWER HOLDINGS COMPANY LIMITED,2
CHINA STEEL CORPORATION,2
CHINA STEEL GLOBAL TRADING CORPORATION,1
CHINFON CEMENT CORPORATION,2
CHINFON VIETNAM HOLDING,2
CHOICE PTE LTD,2
CIKAL JAYA PERMAI,1
CIMB GROUP SDN BHD,1
CIMBGNT SA CIMBPE,0
CIPTA COAL TRADING PTE LTD,2
CIPTA COMMODITY TRADING PTE LTD,2
CIPTA SATWA INTERNATIONAL,1
CIPTA SEJAHTERA SUKSES MAKMUR,1
CIPUTRA DEVELOPMENT TBK,2
CITA MINERAL INVESTINDO TBK,2
CITIC HEAVY INDUSTRIES CO LTD,2
CITILINK,1
CITRA MARGA NUSAPHALA PERSADA TBK,2
CITRA TUBINDO TBK,2
CITY RETAIL DEVELOPMENTS TBK,2
CJ GLOBAL HOLDINGS LIMITED,0
CJ INTERNATIONAL ASIA PTE LTD,1
CLARIANT CATALYSTS JAPAN KK,2
CLG ENTERPRISES INC,1
CLIPAN FINANCE INDONESIA TBK,1
CLOVER UNIVERSAL ENTERPRISE LIMITED,1
CNBM INTERNATIONAL CORPORATION,1
CNH INDUSTRIAL NV,1
CNH PRODUCTS INC,1
COASTAL GUJARAT POWER LTD,0
COCACOLA AMATIL LIMITED,1
COCKETT MARINE OIL AUSTRALIA PTY LTD,2
COIM ASIA PACIFIC PTE LTD,1
COLORPAK INDONESIA TBK,1
COMETPELL SRL,0
COMFEED FINANCE B.V,1
COMFEED TRADING B.V,1
COMPAGNIE FINANCIERE MICHELIN SCMA,1
COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,0
COMSAT DISTRIBUTIONS SDN BHD MALAYSIA,1
CONCORD BUILDING MATERIALS PTE LTD,1
CONCORD PHARMACEUTICALS LTD,1
CONSILIUM FRONTIER EQUITY FUND,1
CONSOLIDATED GRAIN AND BARGE CO,1
CONVIVIAL NAVIGATION CO PTE LTD,2
COREE CAPITAL LIMITED,0
CORNEL COFFEE,1
CORNERSTONE OFFSHORE PTE LTD,1
COSMOS STAR GENERAL TRADING LLC,2
COSTCO WHOLESALE CORPORATION,0
COVESTRO (HONG KONG) LIMITED,2
CP FOOD PRODUCTS INC,1
CP PRIMA AQUACULTURE PRIVATE LIMITED,0
CP PRIMA CORPORATION LIMITED,0
CPP INTERTRADE PTE LTD,0
CR LAURENCE CO INC,1
CR POWER FUEL (CHINA) LIMITED,2
CREATIVE AUDIO STREAM TECHNOLOGY PTE LTD,0
CRODA INDIA COMPANY PVT LTD,1
CRODA OVERSEAS HOLDINGS LIMITED,1
CRONIMET FERROLEG GMBH,2
CROWN PRINCE COURT,2
CRUSTACEA SEAFOOD COMPANY INC,1
CRYSTAL CHAIN HOLDINGS LTD,1
CRYSTAL COVE,0
CS AG SG ASIALINK ELECTRONICS,0
CV ADIPURA MAS PLASTINDO,0
CV ALERGA,1
CV ALIFA BERKAH ABADI,1
CV ANEKA AUTO PART,2
CV ANEKA USAHA SUKSES JAYA,1
CV ANIRAH KARYA MANDIRI,2
CV ANJAYA TEKNIK,2
CV ANUGRAH SINAR SEJAHTERA,1
CV AR AR LANDSCAPE,0
CV ARSYATMA PERKASA ENGINEER,2
CV ARTHA PUTRA WARDHANA,1
CV ATTHAFOOD,1
CV BABY WISE INDONESIA,1
CV BAJA BALI,1
CV BALI BLESSINDO,1
CV BALI CROCO DESIGN,0
CV BANGUN BERKAH MAJU BERSAMA,1
CV BASO SOEKAKOE,1
CV BATU PERMAI,2
CV BERKAH MULIA SEJAHTERA,1
CV BHARA RASA ENERGI COAL,2
CV BINO ARSITAMA,1
CV BUANA RAYA DUTA,2
CV BUKAHA GROUP,2
CV BUMI ANGKASA SEJAHTERA,1
CV CAHAYA KREASI,0
CV CIPTA KREASI UTAMA,0
CV CIPTA NUSA,0
CV CLIK,0
CV DELLA SUKSES,1
CV DIGITAL JAYA SUMATERA,0
CV DUA MUTIARA,2
CV DUTA KARYA BARU,2
CV ERA JAYA PERKASA,2
CV FAMILY PLASTINDO,0
CV GABRIEL INTI MARINDO,2
CV GALLERY AC,2
CV GALLERY AUTO SOLUTION,2
CV GARUDA MAS LESTARI,0
CV GOLDEN LEAF,2
CV GOLDEN MONKEY,0
CV HEMDEN CORP,1
CV HIDUP HIDAYAH ILAHI,2
CV IMAGO RAYA,0
CV INDAH KENCANA,1
CV INDO GAS MERAUKE,2
CV INDOSTAR SEJAHTERA,2
CV INDOTECH SARANA ENGINEERING,0
CV JASA BOGA NIAGA,2
CV JASA SAHABAT ABADI,2
CV JAYA ENERGI TRANS,2
CV JAYA MAS MOTOR,1
CV JUARA LINTAS ABADI,0
CV KARUNIA MULTI DAYA,2
CV KARYA BANGUNAN ANUGERAH,1
CV KARYA HIDUP MULYA,0
CV KARYA INDAH ESTAINDO,1
CV KARYA INDAH LAKSANA,1
CV KARYA USAHA ANEKA TEKNIK,1
CV KENCANA JAYA BOX,0
CV KEYSAR PUTRA MANDIRI,2
CV KREASI IMPIAN TERWUJUD,2
CV LANCAR MARITIM JAYA,0
CV LEGIT PUTRA,1
CV LINA GARMINDO SUKSES,1
CV MAHKOTA MAS PRATAMA,0
CV MAHKOTA TUNAS ABADI,0
CV MAJU BERSAMA MEAT SHOP,2
CV MEGA ELEKTRONIK GADGET,1
CV MITRA GARMINDO,0
CV MITRA KERJA LESTARI,0
CV MITRA SEKAWAN,1
CV MITRA TOP,0
CV MUL JAYA,0
CV MULIA RAYA,2
CV MULTI KREASI SUKSES ABADI,1
CV NAY SILA AMELIA,2
CV NOGO SOSTRO BAJINTEN,0
CV NOVENA TRACTOR,2
CV NUTRINDO PANGAN,1
CV ORION PUTRA MANDIRI,2
CV PACIFIC INDOJAYA,0
CV PUTRA PERDANA CHICKEN,1
CV PUTRA RANCAMAYA,0
CV PUTRA SONGKA MANDIRI,0
CV QUASAR PRIMA ABADI,2
CV RALISA CPO,1
CV RAYA DIPTA SWASTIKA,1
CV RINDASIWI MAKMUR JAYA,2
CV RR LIFESTYLE,0
CV SAMUDRA PANCA JAYA,2
CV SANTI JAYA LESTARI,2
CV SATRIA BAGUS,1
CV SELALU LANCAR USAHA,1
CV SENANG SETUJU JAKARTA,2
CV SILIH WANGI SAWARGI,1
CV SINAR CAHAYA MULIA,0
CV SRI REZEKI,2
CV SUDIRA UTAMA LESTARI,0
CV SUGI PERKASA,0
CV SUMBER KARYA LOGAM,2
CV TANJUNG EMAS INDAH,0
CV TIGA CAHAYA INTAN,2
CV TIRTA ASTRO,0
CV TRIJAYA PERKASA,1
CV UNITECH INDOSURTA,2
CV UTAMA LESTAR,2
CV WAHANA INDONUSA,1
CV WANARAYA TERPADU,1
CV WASTRA NUSANTARA,0
DAE WON CHONG UP CORPORATION,1
DAI TAY DUONG SEAFOODS IMPORT EXPORT CO LTD,0
DAIKIN AIRCONDITIONING,1
DAIWA HOUSE INDUSTRY CO LTD,2
DALIAN JUHUATONG INTERNATIONAL TRADE CO LTD TIONGKOK,2
DALLIGENT SOLUTIONS PTE LTD,2
DAMIANO INVESTMENTS BV,0
DANA KESEHATAN INDONESIA,1
DANA PENSIUN BANK RAKYAT INDONESIA,2
DANA PENSIUN KARYAWAN PANIN BANK,2
DANA PENSIUN KARYAWAN SEMEN BATURAJA,2
DANA PENSIUN PERKEBUNAN,0
DANKA MINERALS JOINT STOCK COMPANY,0
DARMA HENWA TBK,2
DARYA-VARIA LABORATORIA TBK,1
DATANG GROUP HOLDINGS LIMITED REPUBLIK RAKYAT CINA,2
DAYA ADICIPTA MUSTIKA,2
DAYCO INDUSTRIES LLC,1
DAYSEADAY FROZEN BV,0
DAYTON PARTS LLC,1
DB SPORE SES CLT AC,0
DBS BANK LTD,1
DBS VICKERS HONG KONG LIMITED,2
DDT HOLDING NZ LTD,1
DE LICACY INDUSTRIAL CO LTD,0
DEKKER HOUT BV,1
DELHAIZE THE LION NEDERLAND BV,1
DELTA DJAKARTA TBK,0
DEMETER INDO INVESTMENT PTE LTD,1
DENHAM PTE LTD,1
DENSO INTERNATIONAL ASIA PTE LTD,2
DENZIN INTERNATIONAL LTD,0
DESTINASI TIRTA NUSANTARA TBK,1
DEUTSCHE BANK AG,1
DFS VENTURE SINGAPORE (PTE) LIMITED,0
DFS VENTURE SINGAPORE PTE LTD,0
DG GLOBAL INC,1
DHARMA SAMUDERA FISHING IND TBK,0
DI,0
DIAMOND BRIDGE PTE LTD,0
DIAMOND BRIDGE PTE. LTD,0
DIAMOND PACIFIC INTERNATIONAL CORPORATION,0
DIAMONDBACK MARITIME LTD,0
DIAN SWASTATIKA SENTOSA TBK,2
DIC INVESTMENT AND TRADING JOINT STOCK COMPANY,0
DIE-NAMIC INC,1
DIGITAL EDGE (HONG KONG) LTD,1
DIGITAL EDGE HK SPVI LIMITED,1
DINAS KESEHATAN,1
DINAS KOMUNIKASI INFORMATIKA DAN STATISTIK PROVINSI DKI JAKARTA,1
DINAS PEMUDA DAN OLAHRAGA KAB KOLAKA TIMUR,1
DINAS PERPUSTAKAAN DAN KEARSIPAN DAERAH,2
DINAS PERUMAHAN RAKYAT DAN KAWASAN PEMUKIMAN PROVINSI DKI JAKARTA,2
DIRECTD RETAIL & WHOLESALE SDN BHD MALAYSIA,1
DIREKTORAT JENDERAL KEKAYAAN NEGARA KEMENTERIAN KEUANGAN,0
